id,created_time,original_message,Date,Time,Affected Area(s)
8.289758636436141e+32,2026-01-13 11:40:49+00:00,"ESAMELCO SCHEDULED POWER INTERRUPTION!📢
🗓️: NOVEMBER 29, 2025 (SATURDAY)
🕖: 8:00 AM TO 11:00 AM
AFFECTED AREAS:
📍BRGY. MAYPANGDAN TO SMART TOWER, MAYPANGDAN
ACTIVITY :
⚡VEGETATION CLEARING",D POWER INTERRUPTION!📢,8:00 AM TO 11:00 AM,Maypangdan
8.289758636436141e+32,2026-01-13 11:41:17+00:00,"NGCP SCHEDULED POWER INTERRUPTION!!📢
DATE: DECEMBER 3 and 4, 2025
6:00 AM - 7:00 AM and 5:00 PM - 6:00 PM
ACTIVITIES:
☑ Transmission line maintenance and correction of defects.
AFFECTED AREA/S:
Borongan, Taft, Quinapondan, and Balangiga Substations
(entire province)
*All substations above will be briefly interrupted for about 30 minutes between 6:00 AM to 7:00 AM on DECEMBER 3, 2025 for the isolation , and another 30 minutes, between 5:00 PM to 6:00 PM on DECEMBER 4, 2025 for the normalization.
PAHINUMDUM:
Ine nga trabahuon in pwede matapos hin temprano ngan pwede maibalik iton kuryente antis pa iton iya naka-schedule nga oras. Sanglit, para maiwasan iton disgrasya, itrato nga pirme mayda kuryente an mga linya. Damo nga salamat!",D POWER INTERRUPTION!!📢,"6:00 AM - 7:00 AM, 5:00 PM - 6:00 PM, 6:00 AM to 7:00 AM, 5:00 PM to 6:00 PM",Borongan
8.289758636436141e+32,2026-01-13 11:41:17+00:00,"NGCP SCHEDULED POWER INTERRUPTION!!📢
DATE: DECEMBER 3 and 4, 2025
6:00 AM - 7:00 AM and 5:00 PM - 6:00 PM
ACTIVITIES:
☑ Transmission line maintenance and correction of defects.
AFFECTED AREA/S:
Borongan, Taft, Quinapondan, and Balangiga Substations
(entire province)
*All substations above will be briefly interrupted for about 30 minutes between 6:00 AM to 7:00 AM on DECEMBER 3, 2025 for the isolation , and another 30 minutes, between 5:00 PM to 6:00 PM on DECEMBER 4, 2025 for the normalization.
PAHINUMDUM:
Ine nga trabahuon in pwede matapos hin temprano ngan pwede maibalik iton kuryente antis pa iton iya naka-schedule nga oras. Sanglit, para maiwasan iton disgrasya, itrato nga pirme mayda kuryente an mga linya. Damo nga salamat!",D POWER INTERRUPTION!!📢,"6:00 AM - 7:00 AM, 5:00 PM - 6:00 PM, 6:00 AM to 7:00 AM, 5:00 PM to 6:00 PM",Taft
8.289758636436141e+32,2026-01-13 11:41:17+00:00,"NGCP SCHEDULED POWER INTERRUPTION!!📢
DATE: DECEMBER 3 and 4, 2025
6:00 AM - 7:00 AM and 5:00 PM - 6:00 PM
ACTIVITIES:
☑ Transmission line maintenance and correction of defects.
AFFECTED AREA/S:
Borongan, Taft, Quinapondan, and Balangiga Substations
(entire province)
*All substations above will be briefly interrupted for about 30 minutes between 6:00 AM to 7:00 AM on DECEMBER 3, 2025 for the isolation , and another 30 minutes, between 5:00 PM to 6:00 PM on DECEMBER 4, 2025 for the normalization.
PAHINUMDUM:
Ine nga trabahuon in pwede matapos hin temprano ngan pwede maibalik iton kuryente antis pa iton iya naka-schedule nga oras. Sanglit, para maiwasan iton disgrasya, itrato nga pirme mayda kuryente an mga linya. Damo nga salamat!",D POWER INTERRUPTION!!📢,"6:00 AM - 7:00 AM, 5:00 PM - 6:00 PM, 6:00 AM to 7:00 AM, 5:00 PM to 6:00 PM",Quinapondan
8.289758636436141e+32,2026-01-13 11:41:17+00:00,"NGCP SCHEDULED POWER INTERRUPTION!!📢
DATE: DECEMBER 3 and 4, 2025
6:00 AM - 7:00 AM and 5:00 PM - 6:00 PM
ACTIVITIES:
☑ Transmission line maintenance and correction of defects.
AFFECTED AREA/S:
Borongan, Taft, Quinapondan, and Balangiga Substations
(entire province)
*All substations above will be briefly interrupted for about 30 minutes between 6:00 AM to 7:00 AM on DECEMBER 3, 2025 for the isolation , and another 30 minutes, between 5:00 PM to 6:00 PM on DECEMBER 4, 2025 for the normalization.
PAHINUMDUM:
Ine nga trabahuon in pwede matapos hin temprano ngan pwede maibalik iton kuryente antis pa iton iya naka-schedule nga oras. Sanglit, para maiwasan iton disgrasya, itrato nga pirme mayda kuryente an mga linya. Damo nga salamat!",D POWER INTERRUPTION!!📢,"6:00 AM - 7:00 AM, 5:00 PM - 6:00 PM, 6:00 AM to 7:00 AM, 5:00 PM to 6:00 PM",Balangiga Substations
8.289758636436141e+32,2026-01-13 11:41:17+00:00,"NGCP SCHEDULED POWER INTERRUPTION!!📢
DATE: DECEMBER 3 and 4, 2025
6:00 AM - 7:00 AM and 5:00 PM - 6:00 PM
ACTIVITIES:
☑ Transmission line maintenance and correction of defects.
AFFECTED AREA/S:
Borongan, Taft, Quinapondan, and Balangiga Substations
(entire province)
*All substations above will be briefly interrupted for about 30 minutes between 6:00 AM to 7:00 AM on DECEMBER 3, 2025 for the isolation , and another 30 minutes, between 5:00 PM to 6:00 PM on DECEMBER 4, 2025 for the normalization.
PAHINUMDUM:
Ine nga trabahuon in pwede matapos hin temprano ngan pwede maibalik iton kuryente antis pa iton iya naka-schedule nga oras. Sanglit, para maiwasan iton disgrasya, itrato nga pirme mayda kuryente an mga linya. Damo nga salamat!",D POWER INTERRUPTION!!📢,"6:00 AM - 7:00 AM, 5:00 PM - 6:00 PM, 6:00 AM to 7:00 AM, 5:00 PM to 6:00 PM",Entire Province
8.289758636436141e+32,2026-01-13 11:41:17+00:00,"NGCP SCHEDULED POWER INTERRUPTION!!📢
DATE: DECEMBER 3 and 4, 2025
6:00 AM - 7:00 AM and 5:00 PM - 6:00 PM
ACTIVITIES:
☑ Transmission line maintenance and correction of defects.
AFFECTED AREA/S:
Borongan, Taft, Quinapondan, and Balangiga Substations
(entire province)
*All substations above will be briefly interrupted for about 30 minutes between 6:00 AM to 7:00 AM on DECEMBER 3, 2025 for the isolation , and another 30 minutes, between 5:00 PM to 6:00 PM on DECEMBER 4, 2025 for the normalization.
PAHINUMDUM:
Ine nga trabahuon in pwede matapos hin temprano ngan pwede maibalik iton kuryente antis pa iton iya naka-schedule nga oras. Sanglit, para maiwasan iton disgrasya, itrato nga pirme mayda kuryente an mga linya. Damo nga salamat!",D POWER INTERRUPTION!!📢,"6:00 AM - 7:00 AM, 5:00 PM - 6:00 PM, 6:00 AM to 7:00 AM, 5:00 PM to 6:00 PM",All Substations Above Will Be Briefly Interrupted For About 30 Minutes Between 600 Am To 700 Am On December 3
8.289758636436141e+32,2026-01-13 11:41:17+00:00,"NGCP SCHEDULED POWER INTERRUPTION!!📢
DATE: DECEMBER 3 and 4, 2025
6:00 AM - 7:00 AM and 5:00 PM - 6:00 PM
ACTIVITIES:
☑ Transmission line maintenance and correction of defects.
AFFECTED AREA/S:
Borongan, Taft, Quinapondan, and Balangiga Substations
(entire province)
*All substations above will be briefly interrupted for about 30 minutes between 6:00 AM to 7:00 AM on DECEMBER 3, 2025 for the isolation , and another 30 minutes, between 5:00 PM to 6:00 PM on DECEMBER 4, 2025 for the normalization.
PAHINUMDUM:
Ine nga trabahuon in pwede matapos hin temprano ngan pwede maibalik iton kuryente antis pa iton iya naka-schedule nga oras. Sanglit, para maiwasan iton disgrasya, itrato nga pirme mayda kuryente an mga linya. Damo nga salamat!",D POWER INTERRUPTION!!📢,"6:00 AM - 7:00 AM, 5:00 PM - 6:00 PM, 6:00 AM to 7:00 AM, 5:00 PM to 6:00 PM",2025 For The Isolation
8.289758636436141e+32,2026-01-13 11:41:17+00:00,"NGCP SCHEDULED POWER INTERRUPTION!!📢
DATE: DECEMBER 3 and 4, 2025
6:00 AM - 7:00 AM and 5:00 PM - 6:00 PM
ACTIVITIES:
☑ Transmission line maintenance and correction of defects.
AFFECTED AREA/S:
Borongan, Taft, Quinapondan, and Balangiga Substations
(entire province)
*All substations above will be briefly interrupted for about 30 minutes between 6:00 AM to 7:00 AM on DECEMBER 3, 2025 for the isolation , and another 30 minutes, between 5:00 PM to 6:00 PM on DECEMBER 4, 2025 for the normalization.
PAHINUMDUM:
Ine nga trabahuon in pwede matapos hin temprano ngan pwede maibalik iton kuryente antis pa iton iya naka-schedule nga oras. Sanglit, para maiwasan iton disgrasya, itrato nga pirme mayda kuryente an mga linya. Damo nga salamat!",D POWER INTERRUPTION!!📢,"6:00 AM - 7:00 AM, 5:00 PM - 6:00 PM, 6:00 AM to 7:00 AM, 5:00 PM to 6:00 PM",Another 30 Minutes
8.289758636436141e+32,2026-01-13 11:41:17+00:00,"NGCP SCHEDULED POWER INTERRUPTION!!📢
DATE: DECEMBER 3 and 4, 2025
6:00 AM - 7:00 AM and 5:00 PM - 6:00 PM
ACTIVITIES:
☑ Transmission line maintenance and correction of defects.
AFFECTED AREA/S:
Borongan, Taft, Quinapondan, and Balangiga Substations
(entire province)
*All substations above will be briefly interrupted for about 30 minutes between 6:00 AM to 7:00 AM on DECEMBER 3, 2025 for the isolation , and another 30 minutes, between 5:00 PM to 6:00 PM on DECEMBER 4, 2025 for the normalization.
PAHINUMDUM:
Ine nga trabahuon in pwede matapos hin temprano ngan pwede maibalik iton kuryente antis pa iton iya naka-schedule nga oras. Sanglit, para maiwasan iton disgrasya, itrato nga pirme mayda kuryente an mga linya. Damo nga salamat!",D POWER INTERRUPTION!!📢,"6:00 AM - 7:00 AM, 5:00 PM - 6:00 PM, 6:00 AM to 7:00 AM, 5:00 PM to 6:00 PM",Between 500 Pm To 600 Pm On December 4
8.289758636436141e+32,2026-01-13 11:41:17+00:00,"NGCP SCHEDULED POWER INTERRUPTION!!📢
DATE: DECEMBER 3 and 4, 2025
6:00 AM - 7:00 AM and 5:00 PM - 6:00 PM
ACTIVITIES:
☑ Transmission line maintenance and correction of defects.
AFFECTED AREA/S:
Borongan, Taft, Quinapondan, and Balangiga Substations
(entire province)
*All substations above will be briefly interrupted for about 30 minutes between 6:00 AM to 7:00 AM on DECEMBER 3, 2025 for the isolation , and another 30 minutes, between 5:00 PM to 6:00 PM on DECEMBER 4, 2025 for the normalization.
PAHINUMDUM:
Ine nga trabahuon in pwede matapos hin temprano ngan pwede maibalik iton kuryente antis pa iton iya naka-schedule nga oras. Sanglit, para maiwasan iton disgrasya, itrato nga pirme mayda kuryente an mga linya. Damo nga salamat!",D POWER INTERRUPTION!!📢,"6:00 AM - 7:00 AM, 5:00 PM - 6:00 PM, 6:00 AM to 7:00 AM, 5:00 PM to 6:00 PM",2025 For The Normalization
8.289758636436141e+32,2026-01-13 11:41:48+00:00,"ESAMELCO EMERGENCY POWER INTERRUPTION!!📢
WHEN: DECEMBER 2, 2025 - TODAY
🕛11:00 AM - 3:00 PM
ACTIVITIES:
✅Conductor payout
✅Transferring of secondary line at Wheelers Apartelle in Brgy. Sabang South, Borongan Citiy
AFFECTED AREA:
📍Brgy. Sabang South, Borongan City
PAHINUMDUM:
Ine nga trabahuon in pwede matapos hin temprano ngan pwede maibalik iton kuryente antis pa iton iya naka-schedule nga oras. Sanglit, para maiwasan iton disgrasya, itrato nga pirme mayda kuryente an mga linya! Damo nga salamat!","DECEMBER 2, 2025 - TODAY",11:00 AM - 3:00 PM,Barangay Sabang South
8.289758636436141e+32,2026-01-13 11:41:48+00:00,"ESAMELCO EMERGENCY POWER INTERRUPTION!!📢
WHEN: DECEMBER 2, 2025 - TODAY
🕛11:00 AM - 3:00 PM
ACTIVITIES:
✅Conductor payout
✅Transferring of secondary line at Wheelers Apartelle in Brgy. Sabang South, Borongan Citiy
AFFECTED AREA:
📍Brgy. Sabang South, Borongan City
PAHINUMDUM:
Ine nga trabahuon in pwede matapos hin temprano ngan pwede maibalik iton kuryente antis pa iton iya naka-schedule nga oras. Sanglit, para maiwasan iton disgrasya, itrato nga pirme mayda kuryente an mga linya! Damo nga salamat!","DECEMBER 2, 2025 - TODAY",11:00 AM - 3:00 PM,Borongan City
8.289758636436141e+32,2026-03-27 01:30:43+00:00,"EMERGENCY POWER INTERRUPTION!📢
🗓️ March 25, 2026 (TODAY)  
🕗 8:00 AM - 5:00 PM
ACTIVITIES :
✅ Construction of three phase distribution lines for Guiuan general hospital 
AFFECTED AREA/S: 
📍Brgy. 8, Brgy. 9A hospital village Guiuan 
We're sorry for the inconvenience. We are working as quickly and safely as possible to get lights back on. Thank you for your patience and understanding.","March 25, 2026",8:00 AM - 5:00 PM,Barangay 8
8.289758636436141e+32,2026-03-27 01:30:43+00:00,"EMERGENCY POWER INTERRUPTION!📢
🗓️ March 25, 2026 (TODAY)  
🕗 8:00 AM - 5:00 PM
ACTIVITIES :
✅ Construction of three phase distribution lines for Guiuan general hospital 
AFFECTED AREA/S: 
📍Brgy. 8, Brgy. 9A hospital village Guiuan 
We're sorry for the inconvenience. We are working as quickly and safely as possible to get lights back on. Thank you for your patience and understanding.","March 25, 2026",8:00 AM - 5:00 PM,Barangay 9A Hospital Village Guiuan
